span,citation_class,cite_type,author,year,title,journal_series,volume,pages,place,publisher,language,resolved_abbrev,resolves_to_index,xref_kind,author_cluster_id,bib_matched,page_id,segment_id,seg_type,order,confidence,parsed_by,critic_verdict,notes
"Lorsque les dieux faisaient Vhomme (1989) 602-679, Dalley, Myths (2000) 228-277 und 342, Foster, Before the Mus",inline,author-title-full,"Dalley, Myths (2000) 228-277 und 342, Foster, Before the M","1989, 2000",Lorsque les dieux faisaient Vhomme,,,602-679,,,,,-1,,15,False,page_4,1,footnote,39,0.8,llm,,
"Heidel, Babylonian Genesis? (1951), Labat, Religions (1970) 36-70",inline,author-title-full,Heidel,1951,Babylonian Genesis?,,,,,,,,-1,,29,False,page_4,1,footnote,40,0.7,llm,,"trimmed from: Before the Muses? (2005) 436-496, Heidel, Babylonian Genesis"
"Genesis? (1951), Labat, Religions (1970) 36-70, Pritchard, ANET3 (1969) 60-70",inline,author-title-full,"Genesis?, Labat, Pritchard, Speiser und Grayson","1951, 1970, 1969",,"Religions, ANET3","36-70, 60-70, 501-503",,,,,,-1,,23,False,page_4,1,footnote,41,0.8,llm,,"trimmed from: Genesis? (1951), Labat, Religions (1970) 36-70, Pritchard, A"
"Tafel VI und VII siehe De Liagre Bohl, Opera minora (1953) 282-312",inline,author-title-full,De Liagre Bohl,1953,Opera minora,,,282-312 und 504-508,,,,,-1,,7,False,page_4,1,footnote,44,0.8,llm,,trimmed from: Zu den Marduk-Namen in Tafel VI und VII siehe De Liagre Bohl
Assyro-Babylonian god-lists An: “A-nu-um and An: Anu Sa améli (New Haven 1998,inline,author-title-full,Assyro-Babylonian god-lists An: ”A-nu-um and An: Anu Sa améli,1998,A-nu-um and An: Anu Sa améli,New Haven,,Tafel II 185-235,,,,,-1,,54,False,page_4,1,footnote,45,0.8,llm,,trimmed from: Assyro-Babylonian god-lists An: “A-nu-um and An: Anu Sa amél
"George Smith, Chaldean Genesis (1875) und den Zeichenlisten von Delitzsch, AL? (1878",inline,author-title-full,"George Smith, Delitzsch","1875, 1878","Chaldean Genesis, AL?",,,,,,,,-1,,24,False,page_4,1,footnote,46,0.7,llm,,"trimmed from: seit George Smith, Chaldean Genesis (1875) und den Zeichenli"
Der Keilschrifttext von Lambert und Parker beruht auf samtlichen Lambert 1966 Orientalia — 26,inline,author-title-full,Lambert und Parker,1966,Der Keilschrifttext von Lambert und Parker,Orientalia,26,,,,,,-1,,38,False,page_4,1,footnote,48,0.8,llm,,
a.a.O,inline,xref,Lambert und Parker,1966,Der Keilschrifttext von Lambert und Parker,Orientalia,26,,,,,,48,op-cit,38,False,page_4,1,footnote,49,0.95,rule,,op.cit resolved by LLM
"Kécher, AfO 16 (1952/53) 323",inline,journal-abbrev,Kécher,1952/53,,AfO,16,323,,,,Archiv für Orientforschung (Berlin/Wien [etc.] 3/1926ff; Bd. 1–2/1923–1924/1925 als AfK = Archiv für Keilschriftforschung ersch.); Beih. (1933ff.).,-1,,35,False,page_4,2,footnote,50,0.9,llm,,
1973/74 habe ich Lamberts Kopienhefte durchsehen diirfen (siehe HKL II S,inline,journal-abbrev,Lamberts,1973/74,,HKL II,,S,,,,,-1,,38,False,page_4,2,footnote,51,0.8,llm,,
Buch BIWA (1996,inline,journal-abbrev,In meinem Buch BIWA,1996,,,,S,,,,,-1,,6,False,page_4,2,footnote,52,0.6,llm,,"trimmed from: In meinem Buch BIWA (1996), S"
"Chr. (AOAT 275, 2000",inline,journal-abbrev,Chr.,2000,Schultexte zusammenge,AOAT,275,,,,,Alter Orient und Altes Testament. Veröffentlichungen zur Kultur und Geschichte des Alten Orients und des Alten Testaments (Münster etc. 1/1969; 2/1968ff.; AOAT 278 = SED); S = Sonderreihe (1971ff.).,-1,,12,False,page_4,2,footnote,53,0.9,llm,,"trimmed from: Chr. (AOAT 275, 2000) werden Schultexte zusammenge"
Deimel 1912,inline,journal-abbrev,Deimel,1912,Das Fragment aus Edinburg,PSBA,33,f,Edinburg,,,Proceedings of the Society of Biblical Archaeology 1–40 (London 1878/1879–1918). Fortsetzung in: JRAS.,-1,,17,False,page_4,2,footnote,54,0.9,llm,,trimmed from: Tablet 1) Das Fragment aus Edinburg wurde von Deimel 1912 na
"Borger, NAWG 1991",inline,journal-abbrev,Borger,1991,NAWG 1991/II S,NAWG,,,,,,"Nachrichten der Akademie (bis 1940: der Gesellschaft) der Wissenschaften in Göttingen, Philosoph.-hist. Klasse (Göttingen 1941–2006). Fortsetzung von: Nachrichten von der Georg-Augusts-Universität und der Königlichen Gesellschaft der Wissenschaften zu Göttingen (Titel ab 1884 variierend) 1–8 (1845–1893).",-1,,9,False,page_4,2,footnote,58,0.8,llm,,"trimmed from: Ex. i waren 1960 bereits zusammengeschlossen (Borger, NAWG 1"
JNES 20 (1961) 155 unten,inline,journal-abbrev,d K,1961,"publiziert JNES 20 (1961) 155 unten, Nach JNES 20 155 ff",JNES,20,155 ff,,,,Journal of Near Eastern Studies (Chicago 1942ff.). Fortsetzung von: AJSL.,-1,,33,False,page_4,2,footnote,59,0.9,llm,,"trimmed from: Ex. d K 11641 ist zusammengeschlossen mit K 5661, publiziert"
KAR 162,inline,manuscript-ref,,,,KAR,,162,,,,"E. Ebeling, Keilschrifttexte aus Assur religiösen Inhalts, 1 (H. 1–4) –2 (H. 1–5[d. g. R. 5–9]) (= Ausgrabungen der DOG in Assur E/2 = WVDOG 28/1–4, 1915–1919; 34/1–5[d. g. R. 5–9], 1920–1923; Neudruck: Osnabrück 1972/70).",-1,,-1,False,page_4,2,footnote,60,0.55,regex,keep,
KAR 163,inline,manuscript-ref,,,,KAR,,163,,,,"E. Ebeling, Keilschrifttexte aus Assur religiösen Inhalts, 1 (H. 1–4) –2 (H. 1–5[d. g. R. 5–9]) (= Ausgrabungen der DOG in Assur E/2 = WVDOG 28/1–4, 1915–1919; 34/1–5[d. g. R. 5–9], 1920–1923; Neudruck: Osnabrück 1972/70).",-1,,-1,False,page_4,2,footnote,61,0.55,regex,keep,
CT 13,inline,manuscript-ref,,,,CT,,13,,,,Cuneiform Texts from Babylonian Tablets in the British Museum (London 1896ff.).,-1,,-1,False,page_4,2,footnote,69,0.55,regex,keep,
Langdon in seiner Bearbeitung (1923,inline,author-title-full,Langdon,1923,Das Fragment,,,auf S,,,,,-1,,40,False,page_4,2,footnote,83,0.8,llm,,trimmed from: Das Fragment wurde von Langdon in seiner Bearbeitung (1923)
"Gesche, a.a.O. S. 278",inline,xref,Langdon,1923,The Babylonian Epic of Creation,AOTU,2/IV,313 ff,,,,"Altorientalische Texte und Untersuchungen, 1–2 (Leiden/Breslau 1916–1921).",8,op-cit,40,False,page_4,2,footnote,84,1.0,rule,,op.cit resolved by LLM
"Gesche, a.a.O",inline,xref,Langdon,1923,The Babylonian Epic of Creation,AOTU,2/IV,313 ff,,,,"Altorientalische Texte und Untersuchungen, 1–2 (Leiden/Breslau 1916–1921).",84,op-cit,40,False,page_4,2,footnote,85,1.0,rule,,op.cit resolved by LLM
"Geers, Heft A 1 (1937",inline,journal-abbrev,Geers,1937,,HKL,I 611 und II 357,,,,,"R. Borger, Handbuch der Keilschriftliteratur, 1–3 (Berlin 1967–1975):
1: Repertorium der sumerischen und akkadischen Texte (1967);
2: Supplement zu Band 1; Anhang; Zur Kuyunjik-Sammlung (1975);
3: Inhaltliche Ordnung der sumerischen und akkadischen Texte; Anhang; Sekundärliteratur in Auswahl (1975).",-1,,22,False,page_4,3,toc,86,0.9,llm,,trimmed from: Ex. J “K unnumbered” ist lingst als K 8512 identifiziert wor
KAR 117,inline,manuscript-ref,,,,KAR,,117,,,,"E. Ebeling, Keilschrifttexte aus Assur religiösen Inhalts, 1 (H. 1–4) –2 (H. 1–5[d. g. R. 5–9]) (= Ausgrabungen der DOG in Assur E/2 = WVDOG 28/1–4, 1915–1919; 34/1–5[d. g. R. 5–9], 1920–1923; Neudruck: Osnabrück 1972/70).",-1,,-1,False,page_4,3,toc,102,0.55,regex,keep,
Von Labat (1970,inline,author-title-full,Von Labat,1970,Talons ungliickliche Lesung,,,,,,,,-1,,37,False,page_4,3,toc,104,0.7,llm,,trimmed from: Z. 127) Von Labat (1970) stammt Talons ungliickliche Lesung
OLZ 64 (1969,inline,journal-abbrev,"Z. a, wie von mir bereits",1969,unter Vergleichung mit L&P [81] (Talon Z,OLZ 64,,,,,,,-1,,53,False,page_4,4,footnote,105,0.7,llm,,"trimmed from: Z. a, wie von mir bereits OLZ 64 (1969) unter Vergleichung m"
B. Labat (1970,inline,author-title-full,B. Labat,1970,S,,,,,,,,-1,,37,False,page_4,4,footnote,110,0.7,llm,,trimmed from: B. Labat (1970) S
"Borger, JCS 18 (1964",inline,journal-abbrev,Borger,1964,,JCS,18,,,,,Journal of Cuneiform Studies (New Haven/Boston etc. 1947ff.); Suppl. (Ser.) (Boston 2008ff.); offizielle Homepage: http://www.asor.org/pubs/jcs/index.html.,-1,,9,False,page_4,5,footnote,111,0.9,llm,,"trimmed from: Borger, JCS 18 (1964)"
Wilson JNES 20 (1961,inline,journal-abbrev,Wilson,1961,,JNES,20,,,,,Journal of Near Eastern Studies (Chicago 1942ff.). Fortsetzung von: AJSL.,-1,,52,False,page_4,5,footnote,112,0.9,llm,,trimmed from: Wilson JNES 20 (1961)
"siche Borger, JCS 18 (1964) 54",inline,journal-abbrev,siche Borger,1964,Zur Bedeutung von béru als Bezeichnung von Bergen,JCS,18,54 f,,,,Journal of Cuneiform Studies (New Haven/Boston etc. 1947ff.); Suppl. (Ser.) (Boston 2008ff.); offizielle Homepage: http://www.asor.org/pubs/jcs/index.html.,-1,,9,False,page_4,5,footnote,113,0.9,llm,,trimmed from: Z. 57) Zur Bedeutung von béru als Bezeichnung von Bergen sic
Wilson JNES 20 (1961) 161,inline,journal-abbrev,"Landsberger, CAD und Kinnier Wilson",1961,,JNES,20,161,,,,Journal of Near Eastern Studies (Chicago 1942ff.). Fortsetzung von: AJSL.,-1,,39,False,page_4,5,footnote,114,0.9,llm,,trimmed from: Die korrekte Ubersetzung ist nicht in AHw und CAD Landsberge
ANET? (1955,inline,journal-abbrev,ANET,1955,"Anm. 137a, geiindert in ANET",,,,,,,,-1,,2,False,page_4,5,footnote,116,0.7,llm,,"trimmed from: Anm. 137a, geiindert in ANET? (1955)"
KAR 164,inline,manuscript-ref,,,,KAR,,164,,,,"E. Ebeling, Keilschrifttexte aus Assur religiösen Inhalts, 1 (H. 1–4) –2 (H. 1–5[d. g. R. 5–9]) (= Ausgrabungen der DOG in Assur E/2 = WVDOG 28/1–4, 1915–1919; 34/1–5[d. g. R. 5–9], 1920–1923; Neudruck: Osnabrück 1972/70).",-1,,-1,False,page_4,5,footnote,117,0.55,regex,keep,
"Frankena, a.a.O",inline,xref,,,,,,,,,,,-1,op-cit,-1,False,page_4,5,footnote,118,0.1,rule,,
ABZ (1978,inline,journal-abbrev,Das fragliche mit Lesung sirsir,1978,,ABZ,,usw. auf S,,,,"R. Borger, Assyrisch-babylonische Zeichenliste (= AOAT 33, 1978; 19812 [Erg.-Heft]; 19863).",-1,,49,False,page_4,6,footnote,119,0.9,llm,,trimmed from: Das fragliche mit Lesung sirsir ist in ABZ (1978 usw.) auf S
Bibliographische Angaben zu diesen beiden Biichern finden sich in BiOr 63 (2006) Sp. 321,inline,journal-abbrev,Bibliographische Angaben zu diesen beiden Biichern finden sich in,2006,,BiOr,63,Sp. 321,,,,"Bibliotheca Orientalis, uitgegeven vanwege het Nederlands (anfänglich: Nederlandsch) instituut voor het Nabije Oosten te Leiden (Leiden 1943/1944ff.).",-1,,32,False,page_4,7,footnote,122,0.9,llm,,
MesZL (Marz 2004,inline,journal-abbrev,Keilschriftfont,2004,Akkadian RB,MesZL,,Marz,,,,,-1,,34,False,page_4,7,footnote,123,0.8,llm,,trimmed from: in MesZL (Marz 2004) publizierten Keilschriftfont “Akkadian
Unicode Consortium hat 2006,inline,journal-abbrev,Das fachfremde Unicode Consortium,2006,den von S,,,,,,,,-1,,13,False,page_4,7,footnote,125,0.7,llm,,trimmed from: Das fachfremde Unicode Consortium hat 2006 den von S
"Daniels, The world’s writing systems (Oxford 1996",inline,author-title-full,Daniels,1996,The world’s writing systems,,,Section 3,Oxford,,,,-1,,16,False,page_4,7,footnote,126,0.8,llm,,"trimmed from: Er wurde benutzt von Daniels, The world’s writing systems (O"
Second edition (2005,inline,author-title-full,Huehnergard,2005,Grammar of Akkadian,Second edition,,,,,,,-1,,31,False,page_4,7,footnote,127,0.7,llm,,trimmed from: In der Second edition (2005) von Huehnergards Grammar of Akk
L.-J. Bord hat in seinem Buch L’écriture cunéiforme (2002,inline,author-title-full,L.-J. Bord,2002,Lécriture cunéiforme,,,,,,,,-1,,8,False,page_4,7,footnote,128,0.7,llm,,
Herr Heinz-Dieter Viel aus Maintal hat 2002,inline,author-title-full,Herr Heinz-Dieter Viel,2002,Der Codex Hammurapi,,,,Maintal,,,,-1,,51,False,page_4,7,footnote,129,0.7,llm,,trimmed from: Herr Heinz-Dieter Viel aus Maintal hat 2002 ein umfangreiche
Ganzes. Es interessiert mich hier nur Viels Umgang mit meinem in MesZL (Marz 2004,inline,author-title-full,Ganzes,2004,Akkadian RB,MesZL,,Marz,,,,,-1,,21,False,page_4,7,footnote,130,0.8,llm,,trimmed from: Ganzes. Es interessiert mich hier nur Viels Umgang mit meine
An- fang 2001,inline,author-title-full,An- fang,2001,"hatte ich ihm, trotz einer unerfreulichen",,,,,,,,-1,,19,False,page_4,7,footnote,131,0.7,llm,,"trimmed from: An- fang 2001 hatte ich ihm, trotz einer unerfreulich"
